"","site","Uplot","ID.x","plot","pot","source","start.height","post.trans.condition","mid.condition","fall.condition","fr.total","fr.fl.total","size1","MID.stem.number","MID.max.stem","size2","FALL.stem.number","FALL.max.stem","size1_ln","size2_ln","surv0","surv_end","surv1","surv2","start.height_ln","fec","pFlower","start","ID.y","GROUP","CODE","SITE","PLOT","SUBSTRATE","silt","sand","gravel","cobble","boulder","slab","H_silt","H_sand","H_gravel","H_cobble","H_boulder","H_slab","SUM","aspect","Densi_raw_Mean","Asp_Expo","Densi_cover","Particle_mean","Particle_even","moist_score","Vert._dist_wat","Horiz_dist_to_wat","tot_area_Seasonal","plot_slope","WatAREA__to_bankAREA","X.x","X.y","ID1","ID2","Latitude","Longitude","Elevation","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","LR1","LR2","LR3","LR4","LR5","LR6","LR7","LR8","LR9","LR10","GAM1","GAM2","GAM3","GAM4","GAM5","GAM6","GAM7","GAM8","GAM9","GAM10","RF1","RF2","RF3","RF4","RF5","RF6","RF7","RF8","RF9","RF10","BRT1","BRT2","BRT3","BRT4","BRT5","BRT6","BRT7","BRT8","BRT9","BRT10","MAX1","MAX2","MAX3","MAX4","MAX5","MAX6","MAX7","MAX8","MAX9","MAX10","LR","GAM","RF","BRT","MAX","ENSEMBLE","site_type","start_sd","ENSEMBLE_sd","moist_score_sd"
"11","CALAPOOIA","CALAPOOIAP01","tran_526","P01",4,"C",32,"D","","",0,0,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,3.49650756146648,NA,NA,1.63356810020126,1,1,"CALAPOOIA P01.2","CALAPOOIA","P01","sand",20,40,20,10,10,0,"-3.E-01","-4.E-01","-3.E-01","-2.E-01","-2.E-01","#NUM!",100,180,28.5,0,29.64,0.355,1.47,4,0.1,4.42,0.88,0.12,0.4,NA,29,"trans","Calapooia Creek",44.359642,-122.842906,146,11.89,10.46,42.51,510.63,26.8,2.2,24.6,6.37,18.52,18.52,6.03,1293,210,13,63.86,597,84,84,560,0.38,0.44,0.41,0.37,0.41,0.27,0.36,0.44,0.44,0.52,0.44,0.47,0.36,0.35,0.4,0.29,0.38,0.4,0.36,0.53,0.52,0.17,0.12,0.14,0.5,0.06,0.26,0.4,0.13,0.2,0.29,0.04,0.04,0.04,0.27,0.02,0.05,0.44,0.2,0.07,0.42,0.42,0.37,0.38,0.48,0.36,0.35,0.46,0.4,0.42,0.4,0.4,0.25,0.15,0.41,0.3,"beyond",0.728149625649435,-0.420678327369454,1.07546777352876
"12","CALAPOOIA","CALAPOOIAP04","tran_506","P04",3,"C",153,"A","","",20,28,87,9,21,183,9,27,4.47733681447821,5.21493575760899,1,1,1,1,5.03695260241363,28,1,1.71145530674823,1,1,"CALAPOOIA P04.2","CALAPOOIA","P04","cobble",0,15,10,45,30,0,"#NUM!","-3.E-01","-2.E-01","-4.E-01","-4.E-01","#NUM!",100,360,47,180,48.88,0.8675,1.24,3,0.95,12.09,9,0.19,7.69,NA,29,"trans","Calapooia Creek",44.359642,-122.842906,146,11.89,10.46,42.51,510.63,26.8,2.2,24.6,6.37,18.52,18.52,6.03,1293,210,13,63.86,597,84,84,560,0.38,0.44,0.41,0.37,0.41,0.27,0.36,0.44,0.44,0.52,0.44,0.47,0.36,0.35,0.4,0.29,0.38,0.4,0.36,0.53,0.52,0.17,0.12,0.14,0.5,0.06,0.26,0.4,0.13,0.2,0.29,0.04,0.04,0.04,0.27,0.02,0.05,0.44,0.2,0.07,0.42,0.42,0.37,0.38,0.48,0.36,0.35,0.46,0.4,0.42,0.4,0.4,0.25,0.15,0.41,0.3,"beyond",0.823804396797055,-0.420678327369454,0.104309583385733
"13","CALAPOOIA","CALAPOOIAP04","tran_507","P04",3,"C",86,"A","","",8,13,77,7,19,146,7,29,4.35670882668959,4.99043258677874,1,1,1,1,4.46590811865458,13,1,1.53443151678292,1,1,"CALAPOOIA P04.2","CALAPOOIA","P04","cobble",0,15,10,45,30,0,"#NUM!","-3.E-01","-2.E-01","-4.E-01","-4.E-01","#NUM!",100,360,47,180,48.88,0.8675,1.24,3,0.95,12.09,9,0.19,7.69,NA,29,"trans","Calapooia Creek",44.359642,-122.842906,146,11.89,10.46,42.51,510.63,26.8,2.2,24.6,6.37,18.52,18.52,6.03,1293,210,13,63.86,597,84,84,560,0.38,0.44,0.41,0.37,0.41,0.27,0.36,0.44,0.44,0.52,0.44,0.47,0.36,0.35,0.4,0.29,0.38,0.4,0.36,0.53,0.52,0.17,0.12,0.14,0.5,0.06,0.26,0.4,0.13,0.2,0.29,0.04,0.04,0.04,0.27,0.02,0.05,0.44,0.2,0.07,0.42,0.42,0.37,0.38,0.48,0.36,0.35,0.46,0.4,0.42,0.4,0.4,0.25,0.15,0.41,0.3,"beyond",0.606398087500236,-0.420678327369454,0.104309583385733
"14","CALAPOOIA","CALAPOOIAP04","tran_508","P04",1,"C",5,"A","","",3,7,14,2,8,71,3,28,2.70805020110221,4.27666611901606,1,1,1,1,1.79175946922805,7,1,0.247093541615086,1,1,"CALAPOOIA P04.2","CALAPOOIA","P04","cobble",0,15,10,45,30,0,"#NUM!","-3.E-01","-2.E-01","-4.E-01","-4.E-01","#NUM!",100,360,47,180,48.88,0.8675,1.24,3,0.95,12.09,9,0.19,7.69,NA,29,"trans","Calapooia Creek",44.359642,-122.842906,146,11.89,10.46,42.51,510.63,26.8,2.2,24.6,6.37,18.52,18.52,6.03,1293,210,13,63.86,597,84,84,560,0.38,0.44,0.41,0.37,0.41,0.27,0.36,0.44,0.44,0.52,0.44,0.47,0.36,0.35,0.4,0.29,0.38,0.4,0.36,0.53,0.52,0.17,0.12,0.14,0.5,0.06,0.26,0.4,0.13,0.2,0.29,0.04,0.04,0.04,0.27,0.02,0.05,0.44,0.2,0.07,0.42,0.42,0.37,0.38,0.48,0.36,0.35,0.46,0.4,0.42,0.4,0.4,0.25,0.15,0.41,0.3,"beyond",-0.974606352940982,-0.420678327369454,0.104309583385733
"15","CALAPOOIA","CALAPOOIAP04","tran_509","P04",2,"R",22,"D","","",0,0,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,3.13549421592915,NA,NA,0.758453785345121,1,1,"CALAPOOIA P04.2","CALAPOOIA","P04","cobble",0,15,10,45,30,0,"#NUM!","-3.E-01","-2.E-01","-4.E-01","-4.E-01","#NUM!",100,360,47,180,48.88,0.8675,1.24,3,0.95,12.09,9,0.19,7.69,NA,29,"trans","Calapooia Creek",44.359642,-122.842906,146,11.89,10.46,42.51,510.63,26.8,2.2,24.6,6.37,18.52,18.52,6.03,1293,210,13,63.86,597,84,84,560,0.38,0.44,0.41,0.37,0.41,0.27,0.36,0.44,0.44,0.52,0.44,0.47,0.36,0.35,0.4,0.29,0.38,0.4,0.36,0.53,0.52,0.17,0.12,0.14,0.5,0.06,0.26,0.4,0.13,0.2,0.29,0.04,0.04,0.04,0.27,0.02,0.05,0.44,0.2,0.07,0.42,0.42,0.37,0.38,0.48,0.36,0.35,0.46,0.4,0.42,0.4,0.4,0.25,0.15,0.41,0.3,"beyond",-0.346595036878557,-0.420678327369454,0.104309583385733
"16","CALAPOOIA","CALAPOOIAP04","tran_510","P04",2,"R",22,"A","","",11,16,60,4,18,99,6,32,4.11087386417331,4.60517018598809,1,1,1,1,3.13549421592915,16,1,0.758453785345121,1,1,"CALAPOOIA P04.2","CALAPOOIA","P04","cobble",0,15,10,45,30,0,"#NUM!","-3.E-01","-2.E-01","-4.E-01","-4.E-01","#NUM!",100,360,47,180,48.88,0.8675,1.24,3,0.95,12.09,9,0.19,7.69,NA,29,"trans","Calapooia Creek",44.359642,-122.842906,146,11.89,10.46,42.51,510.63,26.8,2.2,24.6,6.37,18.52,18.52,6.03,1293,210,13,63.86,597,84,84,560,0.38,0.44,0.41,0.37,0.41,0.27,0.36,0.44,0.44,0.52,0.44,0.47,0.36,0.35,0.4,0.29,0.38,0.4,0.36,0.53,0.52,0.17,0.12,0.14,0.5,0.06,0.26,0.4,0.13,0.2,0.29,0.04,0.04,0.04,0.27,0.02,0.05,0.44,0.2,0.07,0.42,0.42,0.37,0.38,0.48,0.36,0.35,0.46,0.4,0.42,0.4,0.4,0.25,0.15,0.41,0.3,"beyond",-0.346595036878557,-0.420678327369454,0.104309583385733
"17","CALAPOOIA","CALAPOOIAP04","tran_511","P04",4,"R",68,"A","","",14,20,137,8,23,226,10,30,4.92725368515721,5.4249500174814,1,1,1,1,4.23410650459726,20,1,1.93598366688488,1,1,"CALAPOOIA P04.2","CALAPOOIA","P04","cobble",0,15,10,45,30,0,"#NUM!","-3.E-01","-2.E-01","-4.E-01","-4.E-01","#NUM!",100,360,47,180,48.88,0.8675,1.24,3,0.95,12.09,9,0.19,7.69,NA,29,"trans","Calapooia Creek",44.359642,-122.842906,146,11.89,10.46,42.51,510.63,26.8,2.2,24.6,6.37,18.52,18.52,6.03,1293,210,13,63.86,597,84,84,560,0.38,0.44,0.41,0.37,0.41,0.27,0.36,0.44,0.44,0.52,0.44,0.47,0.36,0.35,0.4,0.29,0.38,0.4,0.36,0.53,0.52,0.17,0.12,0.14,0.5,0.06,0.26,0.4,0.13,0.2,0.29,0.04,0.04,0.04,0.27,0.02,0.05,0.44,0.2,0.07,0.42,0.42,0.37,0.38,0.48,0.36,0.35,0.46,0.4,0.42,0.4,0.4,0.25,0.15,0.41,0.3,"beyond",1.09955197919456,-0.420678327369454,0.104309583385733
"18","CALAPOOIA","CALAPOOIAP04","tran_512","P04",5,"R",48,"A","","",20,31,96,7,33,202,10,46,4.57471097850338,5.31320597904179,1,1,1,1,3.89182029811063,31,1,2.23482835203642,1,1,"CALAPOOIA P04.2","CALAPOOIA","P04","cobble",0,15,10,45,30,0,"#NUM!","-3.E-01","-2.E-01","-4.E-01","-4.E-01","#NUM!",100,360,47,180,48.88,0.8675,1.24,3,0.95,12.09,9,0.19,7.69,NA,29,"trans","Calapooia Creek",44.359642,-122.842906,146,11.89,10.46,42.51,510.63,26.8,2.2,24.6,6.37,18.52,18.52,6.03,1293,210,13,63.86,597,84,84,560,0.38,0.44,0.41,0.37,0.41,0.27,0.36,0.44,0.44,0.52,0.44,0.47,0.36,0.35,0.4,0.29,0.38,0.4,0.36,0.53,0.52,0.17,0.12,0.14,0.5,0.06,0.26,0.4,0.13,0.2,0.29,0.04,0.04,0.04,0.27,0.02,0.05,0.44,0.2,0.07,0.42,0.42,0.37,0.38,0.48,0.36,0.35,0.46,0.4,0.42,0.4,0.4,0.25,0.15,0.41,0.3,"beyond",1.46656886469058,-0.420678327369454,0.104309583385733
"19","CALAPOOIA","CALAPOOIAP04","tran_513","P04",1,"R",1,"A","","",0,1,7,1,7,18,1,18,2.07944154167984,2.94443897916644,1,1,1,1,0.693147180559945,1,1,0.126246189861594,1,1,"CALAPOOIA P04.2","CALAPOOIA","P04","cobble",0,15,10,45,30,0,"#NUM!","-3.E-01","-2.E-01","-4.E-01","-4.E-01","#NUM!",100,360,47,180,48.88,0.8675,1.24,3,0.95,12.09,9,0.19,7.69,NA,29,"trans","Calapooia Creek",44.359642,-122.842906,146,11.89,10.46,42.51,510.63,26.8,2.2,24.6,6.37,18.52,18.52,6.03,1293,210,13,63.86,597,84,84,560,0.38,0.44,0.41,0.37,0.41,0.27,0.36,0.44,0.44,0.52,0.44,0.47,0.36,0.35,0.4,0.29,0.38,0.4,0.36,0.53,0.52,0.17,0.12,0.14,0.5,0.06,0.26,0.4,0.13,0.2,0.29,0.04,0.04,0.04,0.27,0.02,0.05,0.44,0.2,0.07,0.42,0.42,0.37,0.38,0.48,0.36,0.35,0.46,0.4,0.42,0.4,0.4,0.25,0.15,0.41,0.3,"beyond",-1.12302130179148,-0.420678327369454,0.104309583385733
"20","CALAPOOIA","CALAPOOIAP04","tran_514","P04",1,"R",1,"A","","",3,3,8,1,8,27,1,27,2.19722457733622,3.3322045101752,1,1,1,1,0.693147180559945,3,1,0.126246189861594,1,1,"CALAPOOIA P04.2","CALAPOOIA","P04","cobble",0,15,10,45,30,0,"#NUM!","-3.E-01","-2.E-01","-4.E-01","-4.E-01","#NUM!",100,360,47,180,48.88,0.8675,1.24,3,0.95,12.09,9,0.19,7.69,NA,29,"trans","Calapooia Creek",44.359642,-122.842906,146,11.89,10.46,42.51,510.63,26.8,2.2,24.6,6.37,18.52,18.52,6.03,1293,210,13,63.86,597,84,84,560,0.38,0.44,0.41,0.37,0.41,0.27,0.36,0.44,0.44,0.52,0.44,0.47,0.36,0.35,0.4,0.29,0.38,0.4,0.36,0.53,0.52,0.17,0.12,0.14,0.5,0.06,0.26,0.4,0.13,0.2,0.29,0.04,0.04,0.04,0.27,0.02,0.05,0.44,0.2,0.07,0.42,0.42,0.37,0.38,0.48,0.36,0.35,0.46,0.4,0.42,0.4,0.4,0.25,0.15,0.41,0.3,"beyond",-1.12302130179148,-0.420678327369454,0.104309583385733
"21","CALAPOOIA","CALAPOOIAP04","tran_515","P04",2,"R",25,"D","","",0,0,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,3.25809653802148,NA,NA,0.784200272984511,1,1,"CALAPOOIA P04.2","CALAPOOIA","P04","cobble",0,15,10,45,30,0,"#NUM!","-3.E-01","-2.E-01","-4.E-01","-4.E-01","#NUM!",100,360,47,180,48.88,0.8675,1.24,3,0.95,12.09,9,0.19,7.69,NA,29,"trans","Calapooia Creek",44.359642,-122.842906,146,11.89,10.46,42.51,510.63,26.8,2.2,24.6,6.37,18.52,18.52,6.03,1293,210,13,63.86,597,84,84,560,0.38,0.44,0.41,0.37,0.41,0.27,0.36,0.44,0.44,0.52,0.44,0.47,0.36,0.35,0.4,0.29,0.38,0.4,0.36,0.53,0.52,0.17,0.12,0.14,0.5,0.06,0.26,0.4,0.13,0.2,0.29,0.04,0.04,0.04,0.27,0.02,0.05,0.44,0.2,0.07,0.42,0.42,0.37,0.38,0.48,0.36,0.35,0.46,0.4,0.42,0.4,0.4,0.25,0.15,0.41,0.3,"beyond",-0.314975281951081,-0.420678327369454,0.104309583385733
