"modeldataset","presabs","id","lat","long","elev_m","bio1_clim","bio2_clim","bio3_clim","bio4_clim","bio5_clim","bio6_clim","bio7_clim","bio8_clim","bio9_clim","bio10_clim","bio11_clim","bio12_clim","bio13_clim","bio14_clim","bio15_clim","bio16_clim","bio17_clim","bio18_clim","bio19_clim"
"Climate ENM",0,"pseudo.19819",38.926711,-120.637738,1223,12.35833333,12.66666667,42.08194906,650.5097069,30,-0.1,30.1,5.583333333,20.68333333,20.83333333,5.25,1595,312,3,90.13448208,880,22,39,867
"Climate ENM",0,"pseudo.19820",34.476259,-119.029383,1350,11.4125,11.10833333,40.83946078,620.1800508,27.8,0.6,27.2,5,19.21666667,19.63333333,4.833333333,629,146,0,104.2066058,401,4,12,370
"Climate ENM",0,"pseudo.19821",43.183,-123.219686,272,11.92916667,12.525,45.54545455,545.3833445,28.5,1,27.5,5.95,18.65,18.85,5.45,823,136,6,62.98200581,357,46,62,342
"Climate ENM",0,"pseudo.19822",40.632045,-121.229752,1693,7.3625,13.85833333,43.03830228,676.7674671,26.7,-5.5,32.2,-0.533333333,16.18333333,16.18333333,-0.533333333,493,104,4,73.03322124,251,29,29,251
"Climate ENM",0,"pseudo.19823",43.911855,-123.630775,194,11.07083333,11.84166667,44.51754386,527.9439465,27.1,0.5,26.6,5.45,17.56666667,17.76666667,4.7,1280,238,7,74.54506158,628,49,61,622
"Climate ENM",0,"pseudo.19824",35.937046,-118.017763,2208,8.716666667,9.766666667,35.00597372,680.1949364,24.7,-3.2,27.9,1.933333333,17.38333333,17.76666667,1.083333333,327,66,4,85.63851414,185,24,29,177
"Climate ENM",0,"pseudo.19825",38.038813,-119.905829,1503,10.82916667,13.99166667,44.55944798,642.0225794,28.7,-2.7,31.4,3.466666667,19.03333333,19.1,3.466666667,1023,225,4,87.57914993,548,22,27,548
"Climate ENM",0,"pseudo.19826",42.270404,-121.978655,1359,6.679166667,14.14166667,43.3793456,671.4111947,26.2,-6.4,32.6,-0.4,15.43333333,15.43333333,-0.966666667,606,111,7,68.99230363,292,35,35,277
"Climate ENM",0,"pseudo.19827",40.441022,-121.678401,1479,9.129166667,14.475,45.09345794,636.7155007,28.4,-3.7,32.1,2.5,17.28333333,17.33333333,2.05,1214,212,4,77.57577524,597,37,43,597
"Climate ENM",0,"pseudo.19828",40.621884,-122.101995,197,17.8875,14.275,42.10914454,716.4214256,37.4,3.5,33.9,9.416666667,26.75,26.76666667,9.416666667,818,160,2,83.95922117,437,18,26,437
"Climate ENM",0,"pseudo.19829",41.185075,-122.084694,947,11.74166667,16.05,47.34513274,667.0281217,31.5,-2.4,33.9,3.716666667,19.78333333,20.01666667,3.716666667,1203,231,4,83.27036737,624,28,38,624
"Climate ENM",0,"pseudo.19830",43.774588,-123.789668,207,11,10.95,47.4025974,442.6469966,24.2,1.1,23.1,6.433333333,16.25,16.71666667,5.75,1624,295,10,73.02707472,791,64,86,780
"Climate ENM",0,"pseudo.19831",33.00327,-116.239738,509,17,17.98333333,51.82516811,627.0892353,37.2,2.5,34.7,10.75,22.25,25.18333333,9.916666667,274,55,1,78.47251845,151,17,35,142
"Climate ENM",0,"pseudo.19832",39.951095,-121.57251,1159,9.9,15.36666667,47.5748194,618.7964859,29.6,-2.7,32.3,3.183333333,17.93333333,17.93333333,3.183333333,1966,391,3,89.58502485,1084,28,28,1084
"Climate ENM",0,"pseudo.19833",43.846682,-122.72818,704,10.00833333,10.93333333,42.70833333,514.4318726,25.8,0.2,25.6,4.516666667,16.6,16.6,4.116666667,1364,228,11,61.16908564,620,86,86,568
"Climate ENM",0,"pseudo.19834",34.384156,-118.037184,2045,9.745833333,10.45833333,40.07024266,582.1959149,24.9,-1.2,26.1,3.55,17.13333333,17.5,3.466666667,725,164,1,100.4986597,447,7,16,426
"Climate ENM",0,"pseudo.19835",37.458576,-120.014053,528,15.075,16.26666667,46.21212121,683.974016,35.7,0.5,35.2,8.4,23.83333333,23.96666667,7.333333333,547,117,1,90.25601171,300,5,10,299
"Climate ENM",0,"pseudo.19836",38.853832,-120.800629,778,13.86666667,13.73333333,43.32281809,653.5474294,32.5,0.8,31.7,6.533333333,22.28333333,22.28333333,6.533333333,1133,229,1,91.04529028,631,14,14,631
"Climate ENM",0,"pseudo.19837",41.360141,-122.103745,1782,9.441666667,14.15,43.80804954,677.1794221,29.2,-3.1,32.3,1.916666667,17.93333333,18.45,1.916666667,1335,289,6,86.84286597,726,35,43,726
"Climate ENM",0,"pseudo.19838",39.761713,-122.879997,1735,9.654166667,10.44166667,38.96144279,612.6932286,25.9,-0.9,26.8,3.15,17.45,17.93333333,3.15,1797,367,1,93.38193719,1033,15,34,1033
"Climate ENM",0,"pseudo.19839",38.054581,-120.980316,73,16.29583333,14.975,46.94357367,620.3718032,35.3,3.4,31.9,8.75,24.01666667,24.01666667,8.75,407,87,1,91.81308137,230,5,5,230
"Climate ENM",0,"pseudo.19840",36.286283,-120.943525,311,14.62083333,19.725,58.70535714,484.8451409,34.2,0.6,33.6,9.783333333,20.71666667,20.85,9.183333333,392,92,1,101.9491708,245,3,7,226
"Climate ENM",0,"pseudo.19841",42.160283,-123.609287,603,10.94583333,16.09166667,49.97412008,589.4159603,30.8,-1.4,32.2,4.033333333,18.41666667,18.41666667,4.033333333,1296,256,5,86.49014808,693,30,30,693
"Climate ENM",0,"pseudo.19842",41.006832,-122.065091,667,14.5125,15.09166667,46.01117886,660.8882625,33.3,0.5,32.8,6.35,22.25,22.53333333,6.35,2119,408,6,85.62508824,1116,36,71,1116
"Climate ENM",0,"pseudo.19843",41.205996,-123.21422,734,11.275,16.7,48.4057971,648.5560886,32.1,-2.4,34.5,3.566666667,19.28333333,19.48333333,3.566666667,805,148,5,80.29379157,411,30,32,411
"Climate ENM",0,"pseudo.19844",38.73603,-120.512819,1114,13.04166667,14.58333333,45.85953878,645.9342541,31.7,-0.1,31.8,6.45,21.23333333,21.4,5.716666667,1288,241,3,86.74274257,693,21,36,684
"Climate ENM",0,"pseudo.19845",39.641955,-120.109232,2123,6.1375,14.44166667,46.28739316,616.0656879,23.8,-7.4,31.2,0.05,13.71666667,14.16666667,-0.866666667,915,183,10,79.45218999,481,44,44,463
"Climate ENM",0,"pseudo.19846",35.829638,-116.393417,1041,19.24166667,10.43333333,31.0515873,870.5479814,37.5,3.9,33.6,10.81666667,26.98333333,30.3,8.966666667,103,16,3,46.33759871,45,15,20,39
"Climate ENM",0,"pseudo.19847",43.092763,-124.088602,144,11.35833333,12.06666667,52.23665224,412.4859961,24.4,1.3,23.1,7,16.28333333,16.65,6.466666667,1510,254,9,71.57368156,715,60,77,691
"Climate ENM",0,"pseudo.19848",44.574022,-123.145403,70,10.71666667,12.08333333,43.78019324,551.6600293,27.6,0,27.6,4.966666667,17.8,17.8,4.383333333,1066,202,8,76.17465788,555,47,47,512
"Climate ENM",0,"pseudo.19849",36.122163,-118.529912,2312,7.9,13.46666667,43.58144552,633.0050984,26.1,-4.8,30.9,1.216666667,15.96666667,16.3,1.216666667,732,162,3,95.28174691,413,13,15,413
"Climate ENM",0,"pseudo.19850",42.745214,-122.469517,794,9.6,15.3,46.93251534,605.0244172,29.6,-3,32.6,3.283333333,17.11666667,17.53333333,2.6,991,158,11,65.98616484,454,55,64,439
"Climate ENM",0,"pseudo.19851",43.22647,-123.568318,720,10.9625,10.425,41.36904762,549.4630644,26.3,1.1,25.2,5.05,17.6,18.41666667,5.05,1411,267,8,78.45632078,671,47,66,671
"Climate ENM",0,"pseudo.19852",39.861077,-122.886613,1274,11.125,11.55,40.95744681,626.050027,28.2,0,28.2,4.266666667,19.03333333,19.46666667,4.266666667,1663,361,1,93.81691209,952,19,34,952
"Climate ENM",0,"pseudo.19853",42.563995,-123.801287,905,10.38333333,10.51666667,42.40591398,520.4645361,25.1,0.3,24.8,5.25,16.45,17.5,4.916666667,3305,550,17,74.50672454,1603,115,162,1541
"Climate ENM",0,"pseudo.19854",33.700192,-117.187661,443,16.66666667,18.58333333,54.49657869,566.9228476,35.5,1.4,34.1,10.78333333,23.76666667,23.86666667,10.08333333,328,76,0,104.4104466,221,6,10,184
"Climate ENM",0,"pseudo.19855",33.698214,-116.309168,59,22.6875,16.875,45.85597826,746.9061186,41.5,4.7,36.8,13.66666667,25.65,32,13.66666667,113,22,1,64.26309559,53,7,15,53
"Climate ENM",0,"pseudo.19856",44.100453,-122.551841,678,10.2,11.53333333,43.35839599,526.8387713,26.6,0,26.6,4.5,16.78333333,16.88333333,4.083333333,1750,281,18,61.72983914,776,102,122,714
"Climate ENM",0,"pseudo.19857",35.614299,-120.829594,482,13.8375,18.35833333,60.99114064,411.632697,31.1,1,30.1,9.666666667,18.85,19.08333333,9.15,461,108,1,103.5035121,292,5,11,277
"Climate ENM",0,"pseudo.19858",35.455976,-118.154187,1796,12.54583333,11.79166667,39.04525386,695.0064039,30.4,0.2,30.2,5.783333333,21.25,21.76666667,4.783333333,256,60,1,97.65885868,161,13,20,138
"Climate ENM",0,"pseudo.19859",43.185298,-123.097161,938,11.15416667,12.80833333,44.94152047,568.7204871,28.3,-0.2,28.5,4.833333333,17.61666667,18.65,4.483333333,1356,229,11,65.81339278,634,66,81,582
"Climate ENM",0,"pseudo.19860",39.091198,-123.194663,248,14.2875,16.775,53.42356688,535.9321743,33,1.6,31.4,8.216666667,21.01666667,21.11666667,8.216666667,929,216,1,97.74213861,561,8,16,561
"Climate ENM",0,"pseudo.19861",34.921694,-119.796718,928,11.8875,18.375,53.41569767,579.565374,31.5,-2.9,34.4,5.9,19.11666667,19.28333333,5.366666667,393,87,0,99.59438877,250,4,14,215
"Climate ENM",0,"pseudo.19862",37.435225,-117.73242,1993,8.604166667,15.80833333,40.95423143,813.422786,29.6,-9,38.6,-1.016666667,9.183333333,19.06666667,-1.016666667,136,20,7,33.40077733,50,23,25,50
"Climate ENM",0,"pseudo.19863",38.911846,-120.602823,1369,11.4625,12.95833333,42.90838852,651.2649405,29.2,-1,30.2,4.7,19.76666667,20.01666667,4.366666667,1523,296,3,90.04119509,839,21,37,828
"Climate ENM",0,"pseudo.19864",38.088888,-120.241916,1011,12.2125,16.04166667,47.04301075,659.4388972,32.3,-1.8,34.1,5.633333333,20.75,20.75,4.833333333,1060,226,2,90.94365116,599,15,15,573
"Climate ENM",0,"pseudo.19865",42.015664,-123.64663,695,10.70416667,14.94166667,49.31243124,556.6884976,29.4,-0.9,30.3,4.283333333,17.63333333,17.88333333,4.283333333,1539,285,7,84.86121312,811,40,55,811
"Climate ENM",0,"pseudo.19866",38.319182,-120.102081,1964,7.108333333,14.4,44.85981308,654.6263102,25.7,-6.4,32.1,-0.266666667,15.5,15.56666667,-0.266666667,1121,218,5,77.62351543,563,37,49,563
"Climate ENM",0,"pseudo.19867",33.272375,-116.859243,712,15.15833333,17.55,50.86956522,618.7848552,34.6,0.1,34.5,9.016666667,23.05,23.21666667,8.116666667,669,140,2,94.67276129,408,22,29,353
"Climate ENM",0,"pseudo.19868",42.950197,-122.469667,1143,5.954166667,11.30833333,40.24317912,609.8712917,23.8,-4.3,28.1,0.716666667,12.76666667,14.58333333,-0.25,1217,211,14,66.0859519,566,73,80,546
"Climate ENM",0,"pseudo.19869",39.847819,-122.830997,1540,10.93333333,12.08333333,40.68462402,661.102156,28.8,-0.9,29.7,3.7,19.25,19.78333333,3.7,1117,232,2,93.09105113,643,16,25,643
"Climate ENM",0,"pseudo.19870",40.044727,-121.724261,1025,11.79166667,14.38333333,45.23060797,638.2106853,31,-0.8,31.8,4.8,20.08333333,20.08333333,4.8,1655,335,2,89.04627717,912,25,25,912
"Climate ENM",0,"pseudo.19871",32.727341,-116.138436,639,16.83333333,16.95,50.44642857,623.9803804,35.9,2.3,33.6,10.66666667,22.1,25.01666667,9.9,215,41,1,75.88864945,114,14,27,111
"Climate ENM",0,"pseudo.19872",39.046256,-119.439805,1767,7.558333333,12.81666667,39.92731049,704.6012197,25.7,-6.4,32.1,-0.45,16.66666667,16.66666667,-0.45,359,63,7,59.50488928,168,33,33,168
"Climate ENM",0,"pseudo.19873",43.921046,-122.534646,951,9.554166667,10.74166667,42.96666667,511.0971191,25.2,0.2,25,4.1,15.8,16.2,3.816666667,1803,289,18,62.46645783,823,116,121,755
"Climate ENM",0,"pseudo.19874",34.252423,-117.671696,2014,9.629166667,10.89166667,42.05276705,578.5540689,24.6,-1.3,25.9,3.5,17.01666667,17.16666667,3.283333333,1075,237,1,101.1545377,670,9,23,606
"Climate ENM",0,"pseudo.19875",43.697916,-122.453569,748,9.975,11.86666667,44.44444444,528.3787381,26.1,-0.6,26.7,4.266666667,16.8,16.8,3.8,1379,224,13,62.4497562,638,91,91,580
"Climate ENM",0,"pseudo.19876",40.524426,-124.197466,164,11.51666667,8.883333333,53.51405622,300.0934198,20.4,3.8,16.6,8,14.9,15.3,8,1328,271,2,87.05333001,714,23,33,714
"Climate ENM",0,"pseudo.19877",38.608638,-123.223074,405,11.81666667,14.1,64.38356164,302.116273,24.6,2.7,21.9,8.316666667,15.4,15.56666667,8.316666667,1250,290,2,96.54877238,747,14,23,747
"Climate ENM",0,"pseudo.19878",42.558752,-122.711613,641,11.15,14.81666667,45.44989775,642.7320946,30.9,-1.7,32.6,4.183333333,19.15,19.41666667,3.6,814,124,9,63.44296131,368,50,51,355
"Climate ENM",0,"pseudo.19879",42.480643,-124.009925,330,12.49166667,14.15,48.79310345,551.6044092,30.6,1.6,29,6.566666667,19.28333333,19.51666667,5.966666667,1839,310,6,77.49271796,902,48,80,894
"Climate ENM",0,"pseudo.19880",40.561294,-120.971696,2041,4.754166667,15.675,44.91404011,691.3539362,25.4,-9.5,34.9,-3.233333333,13.51666667,13.51666667,-3.233333333,804,158,5,81.04626076,435,31,31,435
"Climate ENM",0,"pseudo.19881",39.486906,-120.511646,2018,7.5,13.28333333,44.42586399,628.4360096,24.6,-5.3,29.9,0.633333333,15.28333333,15.76666667,0.633333333,1475,267,7,84.03555252,770,44,47,770
"Climate ENM",0,"pseudo.19882",40.667284,-122.938639,560,12.675,17.35,48.87323944,663.9020328,34.3,-1.2,35.5,4.866666667,21.2,21.2,4.866666667,877,178,3,86.7287879,476,19,19,476
"Climate ENM",0,"pseudo.19883",34.268597,-119.047545,109,15.24583333,14.10833333,66.86413902,276.7954474,26.2,5.1,21.1,12.16666667,18.08333333,18.8,12.01666667,416,100,0,104.4716782,267,2,8,251
"Climate ENM",0,"pseudo.19884",42.177293,-123.251282,775,10.07083333,15.15833333,48.58440171,589.0109519,28.8,-2.4,31.2,3.266666667,17.35,17.58333333,3.266666667,883,175,6,86.40876396,488,31,38,488
"Climate ENM",0,"pseudo.19885",39.934045,-121.217572,2017,6.733333333,16.06666667,46.84159378,651.9771794,27.4,-6.9,34.3,-0.633333333,15.05,15.05,-0.633333333,1812,383,3,90.75262757,1008,31,31,1008
"Climate ENM",0,"pseudo.19886",38.069744,-118.574817,2082,7.45,17.85,45.88688946,743.236167,29.1,-9.8,38.9,-1.283333333,16.66666667,17.08333333,-1.283333333,176,33,7,53.56541682,82,22,23,82
"Climate ENM",0,"pseudo.19887",43.336005,-122.66535,934,10.38333333,12.9,44.79166667,573.7568908,28,-0.8,28.8,4.166666667,17.8,17.8,3.616666667,1389,217,14,63.35606484,626,89,89,599
"Climate ENM",0,"pseudo.19888",42.14002,-123.953815,992,10.3375,11.125,43.62745098,544.9817553,25.7,0.2,25.5,4.733333333,16.73333333,17.6,4.2,3589,601,18,73.26523332,1704,129,171,1674
"Climate ENM",0,"pseudo.19889",43.488194,-124.058087,194,11.33333333,11.88333333,52.34948605,412.334448,24.2,1.5,22.7,6.966666667,16.15,16.56666667,6.383333333,1860,317,14,71.41194082,891,81,99,853
"Climate ENM",0,"pseudo.19890",39.183708,-123.496413,230,12.04166667,14.7,63.09012876,332.1406694,25,1.7,23.3,8.033333333,16.03333333,16.03333333,8.033333333,952,229,1,99.59967829,579,8,8,579
"Climate ENM",0,"pseudo.19891",35.859011,-117.97743,1665,12.41666667,11,37.41496599,694.2010887,29.6,0.2,29.4,5.633333333,21.2,21.6,4.55,239,48,3,80.58058244,136,19,24,119
"Climate ENM",0,"pseudo.19892",37.849922,-119.723801,2237,7.458333333,11.1,40.51094891,628.8909189,23.1,-4.3,27.4,0.583333333,15.41666667,15.98333333,0.583333333,1082,263,2,95.40133951,612,15,19,612
"Climate ENM",0,"pseudo.19893",32.706765,-115.851628,49,21.54583333,17.125,46.15902965,746.5510344,40.7,3.6,37.1,12.7,24.01666667,30.88333333,12.7,58,12,0,65.719932,31,2,9,31
"Climate ENM",0,"pseudo.19894",43.282012,-123.09007,224,11.8625,13.40833333,47.54728132,534.1778943,28.8,0.6,28.2,5.933333333,18.46666667,18.51666667,5.4,960,160,7,65.19130672,433,48,67,409
"Climate ENM",0,"pseudo.19895",40.072348,-121.449107,1845,6.383333333,14.73333333,45.61403509,626.8475722,26.2,-6.1,32.3,-0.466666667,14.53333333,14.53333333,-0.466666667,1859,381,4,90.96765975,1042,37,37,1042
"Climate ENM",0,"pseudo.19896",42.161041,-122.664743,826,9.604166667,13.175,42.2275641,643.4864494,28.3,-2.9,31.2,2.766666667,17.68333333,17.8,2.116666667,618,95,9,59.94569108,275,45,46,259
"Climate ENM",0,"pseudo.19897",33.423584,-116.442638,837,17.10833333,16.68333333,49.80099502,632.4082159,36.2,2.7,33.5,10.9,22.43333333,25.38333333,10.1,247,46,2,69.04614972,125,17,41,122
"Climate ENM",0,"pseudo.19898",33.465701,-116.118191,-15,22.05,17.96666667,47.15660542,746.5374618,41.5,3.4,38.1,13.01666667,25,31.33333333,13.01666667,78,15,0,61.88944199,37,4,9,37
"Climate ENM",0,"pseudo.19899",40.537964,-122.893313,1114,12.9375,12.44166667,41.06160616,676.5088355,31.1,0.8,30.3,5.316666667,21.15,21.95,5.316666667,1264,273,3,90.7461123,716,28,31,716
"Climate ENM",0,"pseudo.19900",40.154642,-123.128455,1404,10.6625,12.64166667,42.70833333,640.9656245,28.6,-1,29.6,3.533333333,18.53333333,19.2,3.533333333,1854,439,2,101.6334299,1166,18,32,1166
"Climate ENM",0,"pseudo.19901",42.348002,-123.374244,358,11.91666667,15.06666667,48.60215054,590.3632677,30.6,-0.4,31,5.366666667,19.31666667,19.31666667,4.983333333,759,136,5,77.45545553,379,29,29,377
"Climate ENM",0,"pseudo.19902",43.153984,-123.376677,151,12.07083333,12.70833333,45.38690476,551.3555953,28.8,0.8,28,6.066666667,19.01666667,19.01666667,5.483333333,787,140,5,72.23917441,392,36,36,374
"Climate ENM",0,"pseudo.19903",43.356404,-122.259838,1054,8.641666667,13.55,43.99350649,612.831852,27.2,-3.6,30.8,2.066666667,16.45,16.45,1.4,1291,222,16,65.98967311,616,89,89,573
"Climate ENM",0,"pseudo.19904",43.657396,-123.225263,246,11.0625,12.825,45.4787234,540.3539455,28.2,0,28.2,5.25,17.86666667,17.86666667,4.533333333,1089,171,10,66.53960894,505,53,53,483
"Climate ENM",0,"pseudo.19905",37.750134,-119.760683,1879,9.7125,11.00833333,40.03030303,619.6411168,25.6,-1.9,27.5,3.533333333,17.55,18.18333333,3,964,246,1,100.6373074,542,6,7,542
"Climate ENM",0,"pseudo.19906",35.457054,-118.406937,2262,7.704166667,14.35833333,46.61796537,629.6299719,25.3,-5.5,30.8,1.366666667,15.41666667,16.31666667,1.366666667,570,143,3,106.9512254,364,11,15,364
"Climate ENM",0,"pseudo.18651",37.229583,-119.382676,1684,10.74166667,15.91666667,46.95181908,666.8713701,30.3,-3.6,33.9,3.433333333,19.28333333,19.56666667,3.433333333,804,155,2,89.67409799,456,12,17,456
"Climate ENM",0,"pseudo.18652",44.694261,-122.983001,75,11.18333333,11.93333333,43.87254902,552.1541836,27.6,0.4,27.2,5.233333333,18.11666667,18.11666667,4.666666667,1053,174,9,62.75031927,477,66,66,458
"Climate ENM",0,"pseudo.18653",43.746733,-122.805433,757,9.875,11.1,42.69230769,537.2806106,25.8,-0.2,26,4.116666667,16.7,16.7,3.666666667,1550,251,13,61.71304423,700,98,98,655
"Climate ENM",0,"pseudo.18654",43.419858,-122.635555,914,9.7,13.36666667,43.82513661,620.3371517,28.6,-1.9,30.5,2.966666667,17.53333333,17.53333333,2.366666667,1369,238,11,62.80586089,637,85,85,582
"Climate ENM",0,"pseudo.18655",40.168155,-123.284555,994,11.78333333,15.5,47.25609756,638.0949393,31.8,-1,32.8,4.4,19.75,19.96666667,4.4,1477,369,2,98.60134352,895,22,31,895
"Climate ENM",0,"pseudo.18656",35.186958,-120.024587,819,12.88333333,18.91666667,55.96646943,560.0865734,32.5,-1.3,33.8,7.083333333,20.06666667,20.2,6.883333333,240,49,0,89.43349963,139,8,14,134
"Climate ENM",0,"pseudo.18657",39.179322,-122.935948,584,13.22916667,18.025,52.24637681,602.7228307,34,-0.5,34.5,6.316666667,20.93333333,20.93333333,6.316666667,925,190,1,95.20764057,554,9,9,554
"Climate ENM",0,"pseudo.18658",41.343098,-121.943938,1216,9.545833333,16.60833333,47.18276515,672.8212593,30.2,-5,35.2,1.583333333,17.7,18.05,1.583333333,1300,229,7,77.23535905,664,43,49,664
"Climate ENM",0,"pseudo.18659",37.712789,-117.824126,2473,5.108333333,17.01666667,44.42993908,760.9857045,26.3,-12,38.3,-3.75,14.95,14.95,-3.75,155,25,6,38.3250544,58,26,26,58
"Climate ENM",0,"pseudo.18660",42.842441,-123.395724,915,10.5125,10.34166667,38.87844612,570.2795367,26.1,-0.5,26.6,4.95,17.25,18.33333333,4.6,1360,224,6,71.46788405,641,53,57,634
"Climate ENM",0,"pseudo.18661",34.03923,-117.459514,315,17.77083333,15.74166667,53.90981735,490.8548125,34.1,4.9,29.2,12.05,23.76666667,24.21666667,12.05,430,103,1,99.15220115,260,5,12,260
"Climate ENM",0,"pseudo.18662",41.088665,-122.865557,1817,12.27083333,13.50833333,42.61303891,678.5461006,31.5,-0.2,31.7,4.6,20.43333333,21.16666667,4.6,1411,247,7,78.66040961,727,41,44,727
"Climate ENM",0,"pseudo.18663",39.984747,-123.858868,354,12.35833333,11.63333333,46.90860215,496.4640119,27.8,3,24.8,6.75,18.31666667,18.85,6.75,1633,336,2,90.53154903,931,20,36,931
"Climate ENM",0,"pseudo.18664",40.430812,-121.126308,1966,6.066666667,15.06666667,44.97512438,679.3724823,26,-7.5,33.5,-1.816666667,14.6,14.68333333,-1.816666667,1011,187,4,77.31122734,517,31,33,517
"Climate ENM",0,"pseudo.18665",37.876983,-121.600368,-1,16.19166667,13.86666667,46.22222222,579.6348119,33.1,3.1,30,8.833333333,23.03333333,23.03333333,8.833333333,292,66,0,95.36771602,180,5,5,180
"Climate ENM",0,"pseudo.18666",43.227641,-124.381474,58,11.09583333,9.275,53.3045977,308.3494058,20.6,3.2,17.4,8.133333333,14.73333333,15.11666667,7.583333333,1616,288,9,72.44775715,767,62,80,766
"Climate ENM",0,"pseudo.18667",39.328881,-122.819301,905,12.34166667,15.46666667,49.25690021,597.1631166,31.6,0.2,31.4,5.433333333,19.71666667,20.2,5.433333333,1157,232,1,91.14383837,662,12,26,662
"Climate ENM",0,"pseudo.18668",41.49059,-123.991869,307,10.68333333,9.433333333,54.21455939,310.0977363,19.7,2.3,17.4,7.016666667,14.26666667,14.63333333,7.016666667,1842,314,7,75.75681596,888,58,69,888
"Climate ENM",0,"pseudo.18669",39.447968,-123.511359,285,12.49166667,16.05,57.11743772,441.6798168,29.2,1.1,28.1,7.333333333,17.96666667,18.03333333,7.333333333,1064,232,1,95.41238188,638,9,20,638
"Climate ENM",0,"pseudo.18670",41.086722,-123.21542,1563,9.45,16.43333333,47.63285024,649.9895104,29.9,-4.6,34.5,1.7,17.31666667,17.7,1.7,1385,246,7,76.81974584,703,48,53,703
"Climate ENM",0,"pseudo.18671",43.15285,-122.487063,1399,6.779166667,12.725,42.13576159,621.436965,25.4,-4.8,30.2,0.516666667,14.13333333,15.18333333,-0.3,1276,190,15,59.41564982,557,87,92,532
"Climate ENM",0,"pseudo.18672",42.257083,-123.439867,548,11.20833333,13.36666667,48.60606061,549.0977448,27.7,0.2,27.5,4.866666667,17.7,18.43333333,4.866666667,971,195,6,80.35156798,512,39,44,512
"Climate ENM",0,"pseudo.18673",39.5005,-122.804756,1080,11.8125,13.725,46.36824324,603.8479828,29.9,0.3,29.6,4.916666667,19.31666667,19.75,4.916666667,1465,305,1,95.58883859,886,17,30,886
"Climate ENM",0,"pseudo.18674",40.128966,-120.973312,1376,8.7875,16.55833333,46.12349118,698.8240935,30.1,-5.8,35.9,0.466666667,17.65,17.65,0.466666667,1018,196,3,84.00231851,546,27,27,546
"Climate ENM",0,"pseudo.18675",41.388138,-123.249002,1937,7.3375,16.975,48.77873563,664.8414883,28,-6.8,34.8,-0.483333333,15.61666667,15.65,-0.483333333,1558,285,6,80.96654072,807,44,50,807
"Climate ENM",0,"pseudo.18676",40.666327,-122.875511,816,12.49583333,16.50833333,47.71194605,676.0293778,33.6,-1,34.6,4.5,21.06666667,21.06666667,4.5,882,176,3,83.56421384,476,23,23,476
"Climate ENM",0,"pseudo.18677",32.778274,-116.311028,1268,12.2875,17.14166667,52.9063786,573.3994522,30.9,-1.5,32.4,6.483333333,16.98333333,19.93333333,6.033333333,530,119,1,88.28790535,295,29,45,295
