Site,SiteStation,location,station,year,month,Var,high,low,avg
LOOK,1,"Winston, OR",MD6983,2015,2,Dew Point,13.9 °C,-4.4 °C,6.3 °C
LOOK,1,"Winston, OR",MD6983,2015,2,Humidity,0.97,0.28,0.873
LOOK,1,"Winston, OR",MD6983,2015,2,Precipitation,113.8 mm,--,--
LOOK,1,"Winston, OR",MD6983,2015,3,Temperature,23.9 °C,-1.7 °C,10.1 °C
LOOK,1,"Winston, OR",MD6983,2015,3,Dew Point,15 °C,-2.2 °C,7.1 °C
LOOK,1,"Winston, OR",MD6983,2015,3,Humidity,0.96,0.34,0.83
LOOK,1,"Winston, OR",MD6983,2015,3,Precipitation,87.4 mm,--,--
LOOK,1,"Winston, OR",MD6983,2015,4,Temperature,27.8 °C,0.6 °C,10.3 °C
LOOK,1,"Winston, OR",MD6983,2015,4,Dew Point,15.6 °C,-0.6 °C,6.1 °C
LOOK,1,"Winston, OR",MD6983,2015,4,Humidity,0.95,0.3,0.777
LOOK,1,"Winston, OR",MD6983,2015,4,Precipitation,0 mm,--,--
LOOK,1,"Winston, OR",MD6983,2015,5,Temperature,29.4 °C,5 °C,14.7 °C
LOOK,1,"Winston, OR",MD6983,2015,5,Dew Point,18.3 °C,1.7 °C,10 °C
LOOK,1,"Winston, OR",MD6983,2015,5,Humidity,0.94,0.24,0.756
LOOK,1,"Winston, OR",MD6983,2015,5,Precipitation,0 mm,--,--
LOOK,1,"Winston, OR",MD6983,2015,6,Temperature,35.6 °C,7.2 °C,21.1 °C
LOOK,1,"Winston, OR",MD6983,2015,6,Dew Point,19.4 °C,0.6 °C,11.7 °C
LOOK,1,"Winston, OR",MD6983,2015,6,Humidity,0.94,0.2,0.589
LOOK,1,"Winston, OR",MD6983,2015,6,Precipitation,0 mm,--,--
LOOK,1,"Winston, OR",MD6983,2015,7,Temperature,40.6 °C,9.4 °C,22.8 °C
LOOK,1,"Winston, OR",MD6983,2015,7,Dew Point,18.9 °C,5.6 °C,12.6 °C
LOOK,1,"Winston, OR",MD6983,2015,7,Humidity,0.91,0.15,0.567
LOOK,1,"Winston, OR",MD6983,2015,7,Precipitation,0 mm,--,--
LOOK,1,"Winston, OR",MD6983,2015,8,Temperature,37.8 °C,9.4 °C,21.1 °C
LOOK,1,"Winston, OR",MD6983,2015,8,Dew Point,17.2 °C,5 °C,12 °C
LOOK,1,"Winston, OR",MD6983,2015,8,Humidity,0.93,0.19,0.601
LOOK,1,"Winston, OR",MD6983,2015,8,Precipitation,0 mm,--,--
LOOK,1,"Winston, OR",MD6983,2015,9,Temperature,36.1 °C,4.4 °C,16.8 °C
LOOK,1,"Winston, OR",MD6983,2015,9,Dew Point,17.2 °C,2.2 °C,10 °C
LOOK,1,"Winston, OR",MD6983,2015,9,Humidity,0.95,0.23,0.681
LOOK,1,"Winston, OR",MD6983,2015,9,Precipitation,0 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2013,1,Temperature,16.1 °C,-4.7 °C,3.6 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,1,Dew Point,11.3 °C,-6.3 °C,1.5 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,1,Humidity,0.95,0.51,0.868
LOOK,2,"Roseburg, OR",KORROSEB3,2013,1,Precipitation,58.9 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2013,2,Temperature,18.8 °C,-1.2 °C,6.7 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,2,Dew Point,10.9 °C,-2.8 °C,3.2 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,2,Humidity,0.94,0.42,0.796
LOOK,2,"Roseburg, OR",KORROSEB3,2013,2,Precipitation,22.1 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2013,3,Temperature,26 °C,-2.4 °C,9.5 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,3,Dew Point,13.8 °C,-5.7 °C,4.7 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,3,Humidity,0.94,0.23,0.746
LOOK,2,"Roseburg, OR",KORROSEB3,2013,3,Precipitation,44.7 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2013,4,Temperature,22.3 °C,4.4 °C,11.6 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,4,Dew Point,13.7 °C,-2.5 °C,7.1 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,4,Humidity,0.94,0.25,0.762
LOOK,2,"Roseburg, OR",KORROSEB3,2013,4,Precipitation,19.3 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2013,5,Temperature,°C,999.9 °C,°C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,5,Dew Point,°C,999.9 °C,°C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,5,Humidity,0,1.01,%
LOOK,2,"Roseburg, OR",KORROSEB3,2013,5,Precipitation,0 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2013,6,Temperature,°C,999.9 °C,°C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,6,Dew Point,°C,999.9 °C,°C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,6,Humidity,0,1.01,%
LOOK,2,"Roseburg, OR",KORROSEB3,2013,6,Precipitation,0 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2013,7,Temperature,°C,999.9 °C,°C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,7,Dew Point,°C,999.9 °C,°C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,7,Humidity,0,1.01,%
LOOK,2,"Roseburg, OR",KORROSEB3,2013,7,Precipitation,0 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2013,8,Temperature,°C,999.9 °C,°C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,8,Dew Point,°C,999.9 °C,°C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,8,Humidity,0,1.01,%
LOOK,2,"Roseburg, OR",KORROSEB3,2013,8,Precipitation,0 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2013,9,Temperature,°C,999.9 °C,°C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,9,Dew Point,°C,999.9 °C,°C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,9,Humidity,0,1.01,%
LOOK,2,"Roseburg, OR",KORROSEB3,2013,9,Precipitation,0 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2013,10,Temperature,°C,999.9 °C,°C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,10,Dew Point,°C,999.9 °C,°C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,10,Humidity,0,1.01,%
LOOK,2,"Roseburg, OR",KORROSEB3,2013,10,Precipitation,0 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2013,11,Temperature,°C,999.9 °C,°C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,11,Dew Point,°C,999.9 °C,°C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,11,Humidity,0,1.01,%
LOOK,2,"Roseburg, OR",KORROSEB3,2013,11,Precipitation,0 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2013,12,Temperature,15.3 °C,-9.6 °C,2.2 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,12,Dew Point,8.4 °C,-11.8 °C,0.5 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2013,12,Humidity,0.94,0.5,0.891
LOOK,2,"Roseburg, OR",KORROSEB3,2013,12,Precipitation,6.6 mm,--,-
LOOK,2,"Roseburg, OR",KORROSEB3,2014,1,Temperature,16.7 °C,-3 °C,5.1 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,1,Dew Point,10.5 °C,-4.4 °C,3 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,1,Humidity,0.95,0.36,0.87
LOOK,2,"Roseburg, OR",KORROSEB3,2014,1,Precipitation,49 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2014,2,Temperature,20.9 °C,-1.3 °C,8.1 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,2,Dew Point,11.7 °C,-6.6 °C,5.3 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,2,Humidity,0.95,0.45,0.833
LOOK,2,"Roseburg, OR",KORROSEB3,2014,2,Precipitation,135.6 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2014,3,Temperature,26 °C,-1.8 °C,10 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,3,Dew Point,13.7 °C,-8 °C,4.8 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,3,Humidity,0.94,0.11,0.734
LOOK,2,"Roseburg, OR",KORROSEB3,2014,3,Precipitation,115.3 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2014,4,Temperature,34.2 °C,0.5 °C,12.5 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,4,Dew Point,14.4 °C,-6.9 °C,5.8 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,4,Humidity,0.94,0.14,0.679
LOOK,2,"Roseburg, OR",KORROSEB3,2014,4,Precipitation,31.8 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2014,5,Temperature,35.9 °C,2.4 °C,15.5 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,5,Dew Point,14.3 °C,0.1 °C,8.1 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,5,Humidity,0.93,0.15,0.652
LOOK,2,"Roseburg, OR",KORROSEB3,2014,5,Precipitation,31.5 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2014,6,Temperature,36.7 °C,6.2 °C,18.5 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,6,Dew Point,16.9 °C,-6.9 °C,8.8 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,6,Humidity,0.93,0.1,0.579
LOOK,2,"Roseburg, OR",KORROSEB3,2014,6,Precipitation,16.8 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2014,7,Temperature,37.4 °C,8.8 °C,22.5 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,7,Dew Point,17.4 °C,-2.8 °C,12.3 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,7,Humidity,0.92,0.11,0.578
LOOK,2,"Roseburg, OR",KORROSEB3,2014,7,Precipitation,4.1 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2014,8,Temperature,39.9 °C,9.9 °C,22.4 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,8,Dew Point,16.4 °C,-0.4 °C,11.6 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,8,Humidity,0.92,0.14,0.557
LOOK,2,"Roseburg, OR",KORROSEB3,2014,8,Precipitation,0.8 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2014,9,Temperature,37.3 °C,7.4 °C,18.9 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,9,Dew Point,16.1 °C,-4.4 °C,9.3 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,9,Humidity,0.93,0.07,0.607
LOOK,2,"Roseburg, OR",KORROSEB3,2014,9,Precipitation,34 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2014,10,Temperature,32.2 °C,4.9 °C,14.7 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,10,Dew Point,14.6 °C,0.8 °C,9.8 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,10,Humidity,0.94,0.19,0.76
LOOK,2,"Roseburg, OR",KORROSEB3,2014,10,Precipitation,102.4mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2014,11,Temperature,22.2 °C,-0.4 °C,8.8 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,11,Dew Point,14.2 °C,-2.7 °C,6.4 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,11,Humidity,0.94,0.45,0.859
LOOK,2,"Roseburg, OR",KORROSEB3,2014,11,Precipitation,128.8mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2014,12,Temperature,18.6 °C,-6.9 °C,7.6 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,12,Dew Point,13.8 °C,-8.7 °C,5.4 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2014,12,Humidity,0.95,0.42,0.869
LOOK,2,"Roseburg, OR",KORROSEB3,2014,12,Precipitation,129.5 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2015,1,Temperature,19.2 °C,-2.8 °C,7.1 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2015,1,Dew Point,13.1 °C,-4.2 °C,5.3 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2015,1,Humidity,0.97,0.5,0.889
LOOK,2,"Roseburg, OR",KORROSEB3,2015,1,Precipitation,41.1 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2015,2,Temperature,18.9 °C,-3.8 °C,8.8 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2015,2,Dew Point,14.1 °C,-7.6 °C,5.6 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2015,2,Humidity,0.98,0.2,0.831
LOOK,2,"Roseburg, OR",KORROSEB3,2015,2,Precipitation,116.8 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2015,3,Temperature,25.8 °C,-1.8 °C,10.9 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2015,3,Dew Point,13.9 °C,-2.9 °C,6.6 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2015,3,Humidity,0.97,0.18,0.777
LOOK,2,"Roseburg, OR",KORROSEB3,2015,3,Precipitation,79.8 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2015,4,Temperature,30.1 °C,0.7 °C,11.1 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2015,4,Dew Point,14.6 °C,-1.9 °C,5.3 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2015,4,Humidity,0.95,0.18,0.714
LOOK,2,"Roseburg, OR",KORROSEB3,2015,4,Precipitation,24.9 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2015,5,Temperature,31.3 °C,3.6 °C,15.6 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2015,5,Dew Point,16 °C,-2.8 °C,8.7 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2015,5,Humidity,0.94,0.15,0.671
LOOK,2,"Roseburg, OR",KORROSEB3,2015,5,Precipitation,8.9 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2015,6,Temperature,39.1 °C,8.7 °C,21.8 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2015,6,Dew Point,18.7 °C,-1.3 °C,10.3 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2015,6,Humidity,0.94,0.15,0.533
LOOK,2,"Roseburg, OR",KORROSEB3,2015,6,Precipitation,0.3 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2015,7,Temperature,42.5 °C,10.6 °C,23.3 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2015,7,Dew Point,16.8 °C,2.6 °C,11 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2015,7,Humidity,0.91,0.11,0.513
LOOK,2,"Roseburg, OR",KORROSEB3,2015,7,Precipitation,0.3 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2015,8,Temperature,39.3 °C,9.5 °C,21.5 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2015,8,Dew Point,16.6 °C,2.1 °C,10.7 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2015,8,Humidity,0.93,0.13,0.554
LOOK,2,"Roseburg, OR",KORROSEB3,2015,8,Precipitation,6.1 mm,--,--
LOOK,2,"Roseburg, OR",KORROSEB3,2015,9,Temperature,37.4 °C,6.4 °C,18.6 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2015,9,Dew Point,16.2 °C,0.3 °C,9.1 °C
LOOK,2,"Roseburg, OR",KORROSEB3,2015,9,Humidity,0.93,0.15,0.595
LOOK,2,"Roseburg, OR",KORROSEB3,2015,9,Precipitation,2.5 mm,--,--
ROCK,1,"Glide, OR",KORGLIDE5,2013,1,Temperature,°C,999.9 °C,°C
ROCK,1,"Glide, OR",KORGLIDE5,2013,1,Dew Point,°C,999.9 °C,°C
ROCK,1,"Glide, OR",KORGLIDE5,2013,1,Humidity,0,1.01,%
ROCK,1,"Glide, OR",KORGLIDE5,2013,1,Precipitation,0 mm,--,--
ROCK,1,"Glide, OR",KORGLIDE5,2013,2,Temperature,°C,999.9 °C,°C
ROCK,1,"Glide, OR",KORGLIDE5,2013,2,Dew Point,°C,999.9 °C,°C
ROCK,1,"Glide, OR",KORGLIDE5,2013,2,Humidity,0,1.01,%
ROCK,1,"Glide, OR",KORGLIDE5,2013,2,Precipitation,0 mm,--,--
ROCK,1,"Glide, OR",KORGLIDE5,2013,3,Temperature,°C,999.9 °C,°C
ROCK,1,"Glide, OR",KORGLIDE5,2013,3,Dew Point,°C,999.9 °C,°C
ROCK,1,"Glide, OR",KORGLIDE5,2013,3,Humidity,0,1.01,%
ROCK,1,"Glide, OR",KORGLIDE5,2013,3,Precipitation,0 mm,--,--
ROCK,1,"Glide, OR",KORGLIDE5,2013,4,Temperature,°C,999.9 °C,°C
ROCK,1,"Glide, OR",KORGLIDE5,2013,4,Dew Point,°C,999.9 °C,°C
ROCK,1,"Glide, OR",KORGLIDE5,2013,4,Humidity,0,1.01,%
ROCK,1,"Glide, OR",KORGLIDE5,2013,4,Precipitation,0 mm,--,--
ROCK,1,"Glide, OR",KORGLIDE5,2013,5,Temperature,°C,999.9 °C,°C
ROCK,1,"Glide, OR",KORGLIDE5,2013,5,Dew Point,°C,999.9 °C,°C
ROCK,1,"Glide, OR",KORGLIDE5,2013,5,Humidity,0,1.01,%
ROCK,1,"Glide, OR",KORGLIDE5,2013,5,Precipitation,0 mm,--,--
ROCK,1,"Glide, OR",KORGLIDE5,2013,6,Temperature,°C,999.9 °C,°C
ROCK,1,"Glide, OR",KORGLIDE5,2013,6,Dew Point,°C,999.9 °C,°C
ROCK,1,"Glide, OR",KORGLIDE5,2013,6,Humidity,0,1.01,%
ROCK,1,"Glide, OR",KORGLIDE5,2013,6,Precipitation,0 mm,--,--
